name,price,image_url,units,category
Premium Care Diapers - Large,1199,https://www.bigbasket.com/media/uploads/p/l/40141637_5-pampers-premium-care-diapers-large.jpg,44 pcs,Baby Care
Soft Drink,35,https://www.bigbasket.com/media/uploads/p/l/292398_9-mountain-dew-soft-drink.jpg,250 ml,Beverages
Brinjal - Bottle Shape (Loose),96.1,https://www.bigbasket.com/media/uploads/p/l/10000053_18-fresho-brinjal-bottle-shape.jpg,1 kg,Fruits & Vegetables
Brinjal - Bottle Shape (Loose),48.05,https://www.bigbasket.com/media/uploads/p/l/10000054_17-fresho-brinjal-bottle-shape.jpg,500 g,Fruits & Vegetables
"Methi/Venthaya Keerai - Cleaned, without roots",69.48,https://www.bigbasket.com/media/uploads/p/l/10000112_18-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,250 g,Fruits & Vegetables
"Methi/Venthaya Keerai - Cleaned, without roots",138.96,https://www.bigbasket.com/media/uploads/p/l/10000113_18-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,500 g,Fruits & Vegetables
Methi - With roots,57.14,https://www.bigbasket.com/media/uploads/p/l/10000388_10-fresho-methi-with-roots.jpg,200 g,Fruits & Vegetables
"Methi/Venthaya Keerai - Cleaned, without roots",27.79,https://www.bigbasket.com/media/uploads/p/l/20000974_12-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,100 g,Fruits & Vegetables
"Methi/Venthaya Keerai - Cleaned, without roots",277.92,https://www.bigbasket.com/media/uploads/p/l/10000111_20-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,1 kg,Fruits & Vegetables
"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",508,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,Combo,Snacks & Branded Foods
"Chicken Breast - Boneless, Antibiotic Residue-Free, 4 To 6 pcs",605,https://www.bigbasket.com/media/uploads/p/l/10001001_7-fresho-chicken-breast-boneless-antibiotic-residue-free.jpg,1 kg,"Eggs, Meat & Fish"
"Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs",360,https://www.bigbasket.com/media/uploads/p/l/10000900_10-fresho-chicken-breast-boneless-antibiotic-residue-free-4-5-pcs.jpg,500 g,"Eggs, Meat & Fish"
"Chicken Breast - Boneless, Antibiotic Residue-Free, 1 To 2 pcs",207,https://www.bigbasket.com/media/uploads/p/l/10000901_10-fresho-chicken-breast-boneless-antibiotic-residue-free.jpg,250 g,"Eggs, Meat & Fish"
Garlic (Loose),141.56,https://www.bigbasket.com/media/uploads/p/l/10000330_14-fresho-garlic.jpg,1 kg,Fruits & Vegetables
Garlic (Loose),35.39,https://www.bigbasket.com/media/uploads/p/l/10000115_15-fresho-garlic.jpg,250 g,Fruits & Vegetables
Ginger (Loose),124.68,https://www.bigbasket.com/media/uploads/p/l/10000338_13-fresho-ginger.jpg,1 kg,Fruits & Vegetables
Ginger (Loose),12.47,https://www.bigbasket.com/media/uploads/p/l/10000117_17-fresho-ginger.jpg,100 g,Fruits & Vegetables
Ginger (Loose),31.17,https://www.bigbasket.com/media/uploads/p/l/10000118_18-fresho-ginger.jpg,250 g,Fruits & Vegetables
Ginger (Loose),62.34,https://www.bigbasket.com/media/uploads/p/l/10000119_17-fresho-ginger.jpg,500 g,Fruits & Vegetables
Brinjal Bottle Shape 500 g + Cauliflower 1 pc + Cabbage 1 pc,101.3,https://www.bigbasket.com/media/uploads/p/l/1209679_1-fresho-brinjal-bottle-shape-500-g-cauliflower-1-pc-cabbage-1-pc.jpg,Combo,Fruits & Vegetables
Carrot - Ooty (Loose),203.9,https://www.bigbasket.com/media/uploads/p/l/10000272_12-fresho-carrot-ooty.jpg,1 kg,Fruits & Vegetables
Carrot - Ooty (Loose),50.97,https://www.bigbasket.com/media/uploads/p/l/10000270_13-fresho-carrot-ooty.jpg,250 g,Fruits & Vegetables
Carrot - Ooty (Loose),101.95,https://www.bigbasket.com/media/uploads/p/l/10000271_13-fresho-carrot-ooty.jpg,500 g,Fruits & Vegetables
Chicken Curry Cut Without Skin 500 g + Chicken Breast - Boneless 500 g,623,https://www.bigbasket.com/media/uploads/p/l/1221158_1-fresho-chicken-curry-cut-without-skin-500-g-chicken-breast-boneless-500-g.jpg,Combo,"Eggs, Meat & Fish"
Chicken Curry Cut Without Skin 500 g + Chicken Breast - Boneless 500 g,623,https://www.bigbasket.com/media/uploads/p/l/1221156_1-fresho-chicken-curry-cut-without-skin-500-g-chicken-breast-boneless-500-g.jpg,Combo,"Eggs, Meat & Fish"
Premium Care Diapers - Extra Large,3597,https://www.bigbasket.com/media/uploads/p/l/40180904_8-pampers-premium-care-diapers-extra-large.jpg,108 pcs,Baby Care
"Premium Care Diaper Pants - XL, 12-17 kg, Lotion with Aloe Vera",2299,https://www.bigbasket.com/media/uploads/p/l/40136612_6-pampers-premium-care-diapers-extra-large.jpg,72 pcs,Baby Care
"Premium Care Diaper Pants - Extra Large, 12-17 kg, Lotion with Aloe Vera",299,https://www.bigbasket.com/media/uploads/p/l/40131171_5-pampers-premium-care-diaper-pants-with-wetness-indicator-cottony-soft-xl.jpg,11 pcs,Baby Care
"Premium Care Diaper Pants - Extra Large, 12-17 kg, Lotion with Aloe Vera",799,https://www.bigbasket.com/media/uploads/p/l/40131172_4-pampers-premium-care-diapers-extra-large.jpg,24 pcs,Baby Care
"Premium Care Diaper Pants - XL, 12-17 kg, Lotion with Aloe Vera",1199,https://www.bigbasket.com/media/uploads/p/l/40131173_6-pampers-premium-care-diapers-extra-large.jpg,36 pcs,Baby Care
Fresho Palak - Without Root 250 Gm + Amul Malai Paneer 200 Gm,149.21,https://www.bigbasket.com/media/uploads/p/l/1204552_3-bb-combo-fresho-palak-without-root-250-gm-amul-malai-paneer-200-gm.jpg,Combo,Fruits & Vegetables
